model_version,model_kind,reducer_mode_scc,model_name,model_path,task,train_epochs,datasplit,aggregation,n_samples,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,precision_weighted,recall_macro,recall_weighted,model_kind_reducer
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,test,subject_majority,12,0.9166666666666666,0.9166666666666667,0.916083916083916,0.9160839160839161,0.9285714285714286,0.9285714285714285,0.9166666666666667,0.9166666666666666,xeegnet_scc_mean
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,train,window,8211,0.8085495067592254,0.8007968887300959,0.803270878018084,0.807466308593757,0.8076903511620412,0.8082569380426026,0.8007968887300959,0.8085495067592254,xeegnet_scc_mean
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,train,subject_majority,41,0.8780487804878049,0.8786764705882353,0.8753799392097263,0.8784935873674846,0.8731884057971014,0.8799929303640861,0.8786764705882353,0.8780487804878049,xeegnet_scc_mean
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,val,window,2544,0.6474056603773585,0.6456826311605723,0.6456905381744298,0.6473959704214097,0.6456986465746992,0.6473864804469915,0.6456826311605723,0.6474056603773584,xeegnet_scc_mean
201,xeegnet_scc,mean,xeegnet_scc_model_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_v201.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_mean
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,test,window,2527,0.7538583300356153,0.7539002893975271,0.7538163467321572,0.7538074411829387,0.7541104006018431,0.7541345717520294,0.7539002893975271,0.7538583300356153,xeegnet_scc_node
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,test,subject_majority,12,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,xeegnet_scc_node
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,train,window,8211,0.9193764462306662,0.9159863278420997,0.9176377775129856,0.9191957296162551,0.9197337114228487,0.9194437216806749,0.9159863278420997,0.9193764462306662,xeegnet_scc_node
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,train,subject_majority,41,0.975609756097561,0.9791666666666667,0.9750759878419453,0.9756987174734969,0.9722222222222222,0.9769647696476965,0.9791666666666667,0.975609756097561,xeegnet_scc_node
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,val,window,2544,0.7091194968553459,0.708704292527822,0.7082359009202248,0.7093467072386628,0.7080530929622109,0.7098577764736701,0.708704292527822,0.7091194968553459,xeegnet_scc_node
201,xeegnet_scc,node,xeegnet_scc_model_reducermode_node_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_node_v201.pt,cn_ad,,val,subject_majority,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,xeegnet_scc_node
201,xeegnet_scc,edge,xeegnet_scc_model_reducermode_edge_v201.pt,/home/mgrabner/eeglass2/all-in-on-eeg/backend/ml/pretrained_models/cn_ad/xeegnet_scc_model_reducermode_edge_v201.pt,cn_ad,,test,window,2527,0.7752275425405619,0.7752411646058055,0.7752258177672542,0.7752240929939466,0.7752580619699534,0.775268235113084,0.7752411646058055,0.7752275425405619,xeegnet_scc_edge
